siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 22:00",35
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 22:00",9.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 22:00",48
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 22:00",48.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 22:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 22:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 21:00",32
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 21:00",16.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 21:00",48
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 21:00",38.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 21:00",0.46
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 21:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 20:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 20:00",17.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 20:00",51
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 20:00",40.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 20:00",0.52
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 20:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 19:00",24
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 19:00",15.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 19:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 19:00",51.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 19:00",0.51
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 19:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 18:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 18:00",17
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 18:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 18:00",57.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 18:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 18:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 17:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 17:00",13.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 17:00",46
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 17:00",62.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 17:00",0.42
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 17:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 16:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 16:00",10.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 16:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 16:00",68
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 16:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 16:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 15:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 15:00",7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 15:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 15:00",84.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 15:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 15:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 14:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 14:00",7.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 14:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 14:00",86.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 14:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 14:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 13:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 13:00",8.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 13:00",42
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 13:00",95.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 13:00",0.3
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 13:00",1.7
